high_level_substr,sig_gene_seq
alpha-glucan,"2.A.1.5.3,PfkB,GH32,LacI"
alpha-glucan,"2.A.21.3.21,8.A.46.1.1,1.B.14.6.1,LacI,GH65,GH13_38,null,null,Pyr_redox_2,1.A.8.2.9,null"
alpha-glucan,"2.A.21,8.A.46,1.B.14,LacI,GH65,GH13_38,null,null,Pyr_redox_2,1.A.8,null"
alpha-glucan,"3.A.1.1.27,3.A.1.1.27,3.A.1.1.27,CBM34|GH13_20,GH13_31"
alpha-glucan,"3.A.1.1.45,3.A.1.1.45,LacI,3.A.1.1.45,GH13_30"
alpha-glucan,"3.A.1,3.A.1,3.A.1,3.A.1,HTH_12,null,GH65,CBM34|GH13_20,8.A.9,null,LacI,null"
alpha-glucan,"3.A.1,3.A.1,3.A.1,GH13_1,LacI|Peripla_BP_3"
alpha-glucan,"4.A.1.2.9,GH32,LacI"
alpha-glucan,"8.A.46.1.5,null,GH66,GH31,GH97"
alpha-glucan,"8.A.9,CBM34|GH13_20,null,3.A.1,3.A.1,3.A.1"
alpha-glucan,"8.A.9,GH77,9.B.28,3.A.1,3.A.1,LacI,3.A.1,8.A.9"
alpha-glucan,"8.A.9,null,null,8.A.46,1.B.14,GH97,8.A.9,null"
alpha-glucan,"CBM34|GH13_20,3.A.1.1.26,3.A.1.1.26,3.A.1.1.26,null"
alpha-glucan,"CBM48|GH13_11,null,GT5,GT35"
alpha-glucan,"CBM48|GH13_9,CBM48|GH13_11,null,GT5,GT35"
alpha-glucan,"CBM48|GH13_9,null,GT5,GT35"
alpha-glucan,"CBM48|GH13_9,null,null,GT5,GT35"
alpha-glucan,"CBM61|GH53,CBM86|CBM22|GH10|CBM9,null,3.A.1.1.45,3.A.1.1.45,GH13_18,GH32,LacI,GH13_31,GH36,PfkB"
alpha-glucan,"CBM82|CBM83|GH13_41,null,HTH_1,Pyr_redox_2"
alpha-glucan,"GH13_10,null,8.A.46.1.1,1.B.14.6.1,LacI"
alpha-glucan,"GH13_10,null,8.A.46,1.B.14,LacI"
alpha-glucan,"GH13_10,null,null,8.A.46.1.1,1.B.14.6.1,GH97"
alpha-glucan,"GH13_10,null,null,8.A.46.1.1,1.B.14.6.1,GH97,GH13_46"
alpha-glucan,"GH13_10,null,null,8.A.46,1.B.14,GH97,GH13"
alpha-glucan,"GH13_18,null"
alpha-glucan,"GH13_18,null,LacI"
alpha-glucan,"GH13_20,8.A.9,3.A.1,3.A.1,3.A.1"
alpha-glucan,"GH13_30,3.A.1.1.45,LacI,3.A.1.1.45,3.A.1.1.45"
alpha-glucan,"GH13_30,3.A.1.1.45,LacI,3.A.1.1.45,3.A.1.1.45,9.B.28.1.3,GH77,GH13_44"
alpha-glucan,"GH13_30,LacI,3.A.1.1.45,3.A.1.1.45"
alpha-glucan,"GH13_30,LacI,3.A.1.1.45,3.A.1.1.45,9.B.28.1.3,GH77"
alpha-glucan,"GH13_31,CBM34|GH13_20,3.A.1.1.27,3.A.1.1.27,3.A.1.1.27"
alpha-glucan,"GH13_31,LacI"
alpha-glucan,"GH13_31,null,null,GH36,3.A.1.1.28,3.A.1.1.28,SBP_bac_1,null,GH36"
alpha-glucan,"GH13_36,null,null,8.A.46.1.1,1.B.14.6.1,GH97,GH13_46"
alpha-glucan,"GH13_36,null,null,8.A.46.1.1,1.B.14.6.1,GH97,GH13_46,null"
alpha-glucan,"GH13_44,GH77,9.B.28.1.3,3.A.1.1.45,3.A.1.1.45,LacI,3.A.1.1.45"
alpha-glucan,"GH13_44,GH77,9.B.28.1.3,3.A.1.1.45,3.A.1.1.45,LacI,3.A.1.1.45,GH13_30"
alpha-glucan,"GH13_46,GH97,1.B.14.6.1,8.A.46.1.1,null,null,GH13_10"
